,coef,SE,t,p-value
Intercept,2.375504785380545,0.9048811871988615,2.6252118167404133,0.1196182238291066
name[T.ABF2],-5.127079022946223,1.295048390578329,-3.9589864442491036,0.05827992725752731
name[T.ABF3],-1.8930267895219162,1.2545996463015971,-1.5088692198362421,0.2703780339944694
name[T.ABI3],-2.3755047846983044,1.2635757483295074,-1.8799860537358424,0.2008626803187517
name[T.ABI5],-2.4474339856571476,1.263271073916207,-1.9373783158589812,0.1922985938587508
name[T.ABR1],-2.375504785379083,1.2635757483308812,-1.8799860542725697,0.20086268023630297
name[T.AG],-2.6632215860390986,1.2623739514669277,-2.1096930770350033,0.16936098719925774
name[T.AGL1],-2.41146938576251,1.2634230593089113,-1.9086792567183128,0.19651873585143564
name[T.AGL13],-2.483398584025679,1.2631197923767512,-1.9660831846778275,0.1881982273328572
name[T.AGL15],-4.676318599033918,1.2472775564758183,-3.7492205121102735,0.06434993124621462
name[T.AGL16],-2.986902986746454,1.261075896184145,-2.368535467044007,0.14140432206702835
name[T.AGL25],-1.1517877900241247,1.2514274936657361,-0.9203791636783187,0.4545366380381246
name[T.AGL27],1.295646189301097,1.251121319083106,1.035587971796869,0.40919369786474946
name[T.AGL3],-3.418478190483747,1.2594343351459603,-2.7142964861979624,0.11315519533957577
name[T.AGL42],-2.3755047818868507,1.2635757483360675,-1.8799860515010838,0.2008626806620415
name[T.AGL55],0.2578404143288496,1.2582702670088288,0.2049165597322665,0.856599665000704
name[T.AGL6],-2.519363187947417,1.2629692149561154,-1.9947938224566764,0.18421373805218436
name[T.AGL63],-2.5553277831547327,1.262819341895361,-2.023510171549519,0.18034135689397437
name[T.AHL12],-2.3755047863135244,1.263575748278744,-1.8799860550896625,0.20086268011078617
name[T.AHL20],-17.2556433074609,1.9665888529700586,-8.774403089593642,0.012740972576244227
name[T.AHL25],-33.17153768341358,1.7304905074470769,-19.168864284814955,0.00271043344902853
name[T.AIB],-5.946335434786704,1.3351992054043802,-4.45351930312585,0.046900294899490075
name[T.AIL7],-2.3755047865500747,1.2635757483350454,-1.8799860551931027,0.2008626800948963
name[T.ANL2],-2.9219825879914114,1.257648482388978,-2.3233698675809094,0.1457995544061637
name[T.ANT],-6.589451204330567,1.2491421338973554,-5.27518128283073,0.03410773502632715
name[T.AP1],-6.469025055905185,1.5013334802570133,-4.3088528571265545,0.049866787205814285
name[T.AP3],-2.375504786842389,1.2635757484068826,-1.87998605531756,0.20086268007577796
name[T.ARALYDRAFT_484486],-0.5623365870853161,1.2589098587706156,-0.4466853469830351,0.6988124758134798
name[T.ARALYDRAFT_493022],-2.9000355920712106,1.2519911693033348,-2.3163386956514422,0.14650072223323898
name[T.ARALYDRAFT_495258],5.958867780356231,1.2812485585245252,4.65082886588252,0.04325417310726826
