,coef,SE,t,p-value
Intercept,-4.530992660060906e-12,2.2255879486681728e-09,-0.002035863225612955,0.9985604287992618
name[T.ABF2],1.1392728218608504e-11,3.1852182715119532e-09,0.0035767496125785523,0.9974708641832222
name[T.ABF3],3.4370301987525845e-11,3.0857331246500464e-09,0.011138455789634688,0.9921241666546192
name[T.ABI3],1.9805795211888e-10,3.1078101716501877e-09,0.06372910222303411,0.9549824050753789
name[T.ABI5],2.462825111898678e-11,3.107060813931073e-09,0.007926542991550576,0.994395175736511
name[T.ABR1],1.744377340869626e-12,3.1078101716535667e-09,0.0005612882526674718,0.999603109301598
name[T.AG],4.638397250924381e-11,3.10485430887843e-09,0.014939178426700202,0.989436994973046
name[T.AGL1],-5.483899007910787e-11,3.1074346274915293e-09,-0.017647672969190197,0.9875221822575209
name[T.AGL13],-1.4531041337372246e-10,3.1066887315230935e-09,-0.04677340600597672,0.9669442819168064
name[T.AGL15],0.9999999998080724,3.0677241803755336e-09,325974546.9312883,9.410931650473177e-18
name[T.AGL16],8.11119939524976e-12,3.101661695046985e-09,0.0026151141525855184,0.9981508382106492
name[T.AGL25],-7.026692311232034e-11,3.0779311007185258e-09,-0.022829270965785076,0.9838593705791678
name[T.AGL27],4.24620503146865e-12,3.077178053278785e-09,0.0013799022864290375,0.9990242622003741
name[T.AGL3],5.7687284543502426e-11,3.097624216408605e-09,0.018623073850573532,0.9868326398165084
name[T.AGL42],-1.923384967394688e-10,3.1078101716663222e-09,-0.06188875321054187,0.9562798872892957
name[T.AGL55],-1.7203523569359232e-10,3.094761148799201e-09,-0.05558918036706766,0.960722845033839
name[T.AGL6],5.221692268029057e-11,3.106318380920772e-09,0.016809906866279586,0.9881144404685451
name[T.AGL63],-5.16039325555934e-10,3.1059497627170077e-09,-0.16614541926927873,0.883319906036222
name[T.AHL12],-1.0390453042133038e-10,3.1078101715253334e-09,-0.0334333581160568,0.9763656493925952
name[T.AHL20],-3.2004289111453935e-10,4.83689628326139e-09,-0.0661669947776393,0.9532639947280934
name[T.AHL25],1.9999999998223146,4.256203878634168e-09,469902301.8756616,4.528817864929839e-18
