,coef,SE,t,p-value
Intercept,-0.16831444548177085,0.49339769287715546,-0.3411334262636636,0.7655078701967146
name[T.ABF2],2.7102133364729863,0.7061412007620804,3.838061472051305,0.06167202492607969
name[T.ABF3],1.1127389209886973,0.6840860211559078,1.6266067228043777,0.2453423172937585
name[T.ABI3],0.16831444537687337,0.6889803521401893,0.24429498584979364,0.8297783981811441
name[T.ABI5],0.16672657333764515,0.6888142246366808,0.24204867927282725,0.8312988492834694
name[T.ABR1],0.16831444547696528,0.6889803521409384,0.2442949859948034,0.8297783980830309
name[T.AG],0.1619629569902093,0.6883250574919058,0.23530010309426208,0.8358739495287137
name[T.AGL1],0.16752050926111214,0.6888970965575167,0.24317203555977782,0.8305383350771456
name[T.AGL13],0.16593263729192376,0.6887317365005605,0.24092491822001108,0.8320599390951178
name[T.AGL15],0.007145424399274121,0.6800935608437844,0.010506531469594968,0.9925709653658602
name[T.AGL16],0.1548175324060219,0.6876172767458671,0.22515073085233153,0.8427744754712485
name[T.AGL25],0.0849511587636142,0.6823563655788778,0.12449676305363662,0.9123066383966669
name[T.AGL27],0.9182245852712967,0.6821894200894318,1.3459965197802712,0.3105794840214162
name[T.AGL3],0.14529029970261875,0.6867221952253146,0.21157070604795114,0.8520434707253075
name[T.AGL42],0.16831444518796776,0.6889803521437663,0.2442949855743439,0.8297783983675127
name[T.AGL55],0.13814487517251295,0.6860874726326277,0.20135169447480056,0.8590443573568598
name[T.AGL6],0.16513870123355323,0.6886496322939618,0.23980075424343067,0.8328216023866256
name[T.AGL63],0.16434476532245545,0.6885679121483264,0.23867618926606834,0.8335838369706661
name[T.AHL12],0.16831444563442244,0.68898035211251,0.24429498623341994,0.8297783979215835
name[T.AHL20],0.7360537861842166,1.0723069687160132,0.6864207802972425,0.5633446308439822
name[T.AHL25],1.0028163033080373,0.9435714168876468,1.0627879197695589,0.39923050697092877
name[T.AIB],1.603825904002837,0.728033930639288,2.2029548850759118,0.15847908700993288
name[T.AIL7],0.16831444565229853,0.688980352143209,0.24429498624848056,0.8297783979113935
name[T.ANL2],0.13417519464581873,0.6857484368550683,0.19566241413711954,0.8629512485435555
name[T.ANT],-0.057163396617274,0.6811102448140028,-0.08392679019662103,0.9407590248457857
name[T.AP1],-0.694694057093514,0.8186207049912384,-0.8486153023712601,0.48546538475127865
name[T.AP3],0.16831444599527184,0.6889803521823791,0.24429498673239022,0.8297783975839814
name[T.ARALYDRAFT_484486],0.14211455529666006,0.6864362179752352,0.2070324257013303,0.8551498963343981
name[T.ARALYDRAFT_493022],0.09050871120551807,0.6826637167129899,0.13258169284478077,0.9066598695946161
name[T.ARALYDRAFT_495258],-0.2437383718195165,0.6986166711401127,-0.3488871392401012,0.7604805990857609
name[T.ARALYDRAFT_496250],-0.2429444356888773,0.6984976806961593,-0.34780993896321344,0.7611778818821128
name[T.ARALYDRAFT_897773],-0.08971477532295964,0.6826186260260353,-0.1314273767260753,0.9074655421320819
name[T.AREB3],0.1079753044197981,0.6837553137746378,0.15791512291688922,0.8890268420791482
name[T.ARF1],2.533165594224397,0.7458349254545025,3.396415892807269,0.0768304905611455
name[T.ARF2],1.232698321275213,1.3439877077052542,0.917194639659273,0.45586446485530807
name[T.ARF3],2.057163396515176,0.6811102448129461,3.0203089913588603,0.09436180818118753
name[T.ARF5],0.5284019778468038,0.747123188854203,0.7072487987652576,0.552714552986928
name[T.ARF8],0.16831444548998373,0.688980352140939,0.24429498601369845,0.8297783980702464
name[T.ARR1],0.9571274524409856,0.6806585727478306,1.406178502354044,0.2949105679816524
name[T.ARR10],0.25492853124865444,1.33143131459084,0.1914695324159445,0.8658346562530135
name[T.ARR11],-0.32392591424270045,0.7124953931098698,-0.45463580168405343,0.6939498449745831
name[T.ARR14],0.05081190799949829,0.6808936070685907,0.07462532688220656,0.9473052377992164
name[T.ARR18],0.023818081832369775,0.6802568347038099,0.03501336644818921,0.9752493956534009
name[T.ARR2],-0.19848401612190106,0.6924269244725579,-0.2866497663606773,0.8013476536375981
name[T.AT1G01250],0.16831444549001678,0.688980352140939,0.24429498601374644,0.829778398070214
name[T.AT1G12630],0.16752050942459082,0.6888970965629573,0.24317203579516228,0.8305383349178216
name[T.AT1G13300],-0.40014377639578,0.7289673881561964,-0.5489186250263927,0.6381569394135415
name[T.AT1G14580],-0.19213252761187483,0.6916557073985924,-0.2777863690802327,0.8072584242566194
name[T.AT1G19210],0.16831444549001023,0.6889803521409396,0.24429498601373673,0.8297783980702206
name[T.AT1G22810],0.16752050942456956,0.6888970965629573,0.2431720357951314,0.8305383349178425
name[T.AT1G25550],0.16831444549000024,0.688980352140939,0.24429498601372243,0.8297783980702302
name[T.AT1G28160],0.16831444549001945,0.6889803521409392,0.24429498601375021,0.8297783980702115
name[T.AT1G36060],0.1675205094245874,0.6888970965629568,0.24317203579515748,0.8305383349178248
name[T.AT1G44830],0.16831444549003996,0.6889803521409392,0.24429498601378,0.8297783980701913
name[T.AT1G47655],0.1683144454899918,0.6889803521409392,0.2442949860137101,0.8297783980702386
name[T.AT1G49560],0.16831444549008526,0.6889803521409391,0.24429498601384578,0.8297783980701467
name[T.AT1G68670],0.16672657334388002,0.6888142246366911,0.24204867928187526,0.8312988492773428
name[T.AT1G69570],0.1683144454900297,0.6889803521409392,0.2442949860137651,0.8297783980702014
name[T.AT1G71450],0.1659326372922516,0.6887317365008303,0.24092491822039272,0.8320599390948592
name[T.AT1G72740],0.16672657334387334,0.688814224636691,0.2420486792818656,0.8312988492773492
name[T.AT1G75490],0.16513870123198426,0.6886496322929039,0.23980075424152072,0.8328216023879199
name[T.AT1G76870],0.16831444549001373,0.6889803521409391,0.24429498601374197,0.829778398070217
name[T.AT1G76880],0.15164178813791113,0.6873127325897168,0.22062997082353178,0.845855618398426
name[T.AT1G77200],0.16831444549001628,0.6889803521409392,0.24429498601374564,0.8297783980702146
name[T.AT1G77640],0.16831444549003127,0.6889803521409388,0.24429498601376753,0.8297783980701997
name[T.AT1G78700],0.14370242750573756,0.6865784314970067,0.20930227474872848,0.8535956569129892
name[T.AT2G01060],0.1683144454900252,0.6889803521409392,0.24429498601375857,0.8297783980702058
name[T.AT2G03500],0.13576306683655948,0.6858828850830534,0.1979391377000462,0.8613870192010002
name[T.AT2G20110],-0.235799011125056,0.6974433513044112,-0.3380905570094645,0.7674859507809152
name[T.AT2G28810],0.16355082910906074,0.6884865762101302,0.23755122432357206,0.834346641254603
name[T.AT2G33710],0.16831444549002245,0.6889803521409392,0.24429498601375457,0.8297783980702085
name[T.AT2G40260],0.16831444549001526,0.6889803521409392,0.24429498601374414,0.8297783980702156
name[T.AT2G44940],0.16593263729227783,0.6887317365008301,0.24092491822043088,0.8320599390948333
name[T.AT3G04030],0.16831444549002106,0.6889803521409392,0.24429498601375255,0.8297783980702098
name[T.AT3G10113],0.7252981217089396,0.7035423272730567,1.0309232203842074,0.4109301269626443
name[T.AT3G10580],0.1468781717325062,0.6868675081861196,0.21383770520807166,0.8504933560209919
name[T.AT3G12730],0.16831444549000585,0.6889803521409393,0.24429498601373045,0.8297783980702248
name[T.AT3G16280],0.16593263729227498,0.6887317365008304,0.2409249182204266,0.8320599390948362
name[T.AT3G24120],-0.17784167844731508,0.6900092927161492,-0.2577380918266477,0.8207049197900993
name[T.AT3G25990],0.16831444549002159,0.6889803521409392,0.24429498601375332,0.8297783980702094
name[T.AT3G45610],0.16831444549002694,0.6889803521409391,0.24429498601376112,0.829778398070204
name[T.AT3G46070],0.16672657334387983,0.6888142246366908,0.24204867928187507,0.8312988492773429
